reading_id,meter_id,consumer_name,consumer_type,location_name,city,region,country,meter_type,energy_source,tariff_name,reading_timestamp,consumption_kwh,peak_demand_kw,voltage,temperature_c,cost_amount,reading_year,reading_month,hour_of_day,time_band
R001,MTR-1001,Green Heights,Residential,Block A,Bengaluru,Karnataka,India,Smart Meter,Grid,Residential Standard,2026-01-05 08:00:00,3.2,1.4,229,21,19.2,2026,1,8,Morning
R002,MTR-1001,Green Heights,Residential,Block A,Bengaluru,Karnataka,India,Smart Meter,Grid,Residential Standard,2026-01-05 19:00:00,6.8,3.1,228,24,40.8,2026,1,19,Evening
R003,MTR-1002,TechWorks Pvt Ltd,Commercial,Electronic City,Bengaluru,Karnataka,India,AMI Meter,Solar + Grid,Commercial Peak,2026-01-05 10:00:00,18.5,8.6,231,25,166.5,2026,1,10,Morning
R004,MTR-1002,TechWorks Pvt Ltd,Commercial,Electronic City,Bengaluru,Karnataka,India,AMI Meter,Solar + Grid,Commercial Peak,2026-01-05 21:00:00,8.1,3.8,230,22,72.9,2026,1,21,Evening
R005,MTR-1003,River View Apartments,Residential,Whitefield,Bengaluru,Karnataka,India,Smart Meter,Grid,Residential Standard,2026-01-06 07:00:00,4.1,1.9,227,20,24.6,2026,1,7,Morning
R006,MTR-1003,River View Apartments,Residential,Whitefield,Bengaluru,Karnataka,India,Smart Meter,Grid,Residential Standard,2026-01-06 20:00:00,7.3,3.5,226,23,43.8,2026,1,20,Evening
R007,MTR-1004,City Hospital,Industrial,Indiranagar,Bengaluru,Karnataka,India,AMI Meter,Grid,Industrial Demand,2026-01-06 12:00:00,31.2,13.5,232,26,405.6,2026,1,12,Afternoon
R008,MTR-1004,City Hospital,Industrial,Indiranagar,Bengaluru,Karnataka,India,AMI Meter,Grid,Industrial Demand,2026-01-06 23:00:00,12.7,5.8,231,22,165.1,2026,1,23,Evening
R009,MTR-1001,Green Heights,Residential,Block A,Bengaluru,Karnataka,India,Smart Meter,Grid,Residential Standard,2026-01-07 18:00:00,48.6,22.9,210,27,291.6,2026,1,18,Evening
R010,MTR-1002,TechWorks Pvt Ltd,Commercial,Electronic City,Bengaluru,Karnataka,India,AMI Meter,Solar + Grid,Commercial Peak,2026-01-07 11:00:00,19.4,9.0,230,26,174.6,2026,1,11,Morning
R011,MTR-1003,River View Apartments,Residential,Whitefield,Bengaluru,Karnataka,India,Smart Meter,Grid,Residential Standard,2026-01-07 08:00:00,3.8,1.7,228,21,22.8,2026,1,8,Morning
R012,MTR-1004,City Hospital,Industrial,Indiranagar,Bengaluru,Karnataka,India,AMI Meter,Grid,Industrial Demand,2026-01-07 13:00:00,29.8,12.8,232,27,387.4,2026,1,13,Afternoon

