reading_id,meter_id,consumer_name,consumer_type,location_name,city,region,country,meter_type,energy_source,tariff_name,reading_timestamp,consumption_kwh,peak_demand_kw,voltage,temperature_c,cost_amount
R001,MTR-1001,Green Heights,Residential,Block A,Bengaluru,Karnataka,India,Smart Meter,Grid,Residential Standard,2026-01-05 08:00:00,3.2,1.4,229,21,19.20
R002,MTR-1001,Green Heights,Residential,Block A,Bengaluru,Karnataka,India,Smart Meter,Grid,Residential Standard,2026-01-05 19:00:00,6.8,3.1,228,24,40.80
R003,MTR-1002,TechWorks Pvt Ltd,Commercial,Electronic City,Bengaluru,Karnataka,India,AMI Meter,Solar + Grid,Commercial Peak,2026-01-05 10:00:00,18.5,8.6,231,25,166.50
R004,MTR-1002,TechWorks Pvt Ltd,Commercial,Electronic City,Bengaluru,Karnataka,India,AMI Meter,Solar + Grid,Commercial Peak,2026-01-05 21:00:00,8.1,3.8,230,22,72.90
R005,MTR-1003,River View Apartments,Residential,Whitefield,Bengaluru,Karnataka,India,Smart Meter,Grid,Residential Standard,2026-01-06 07:00:00,4.1,1.9,227,20,24.60
R006,MTR-1003,River View Apartments,Residential,Whitefield,Bengaluru,Karnataka,India,Smart Meter,Grid,Residential Standard,2026-01-06 20:00:00,7.3,3.5,226,23,43.80
R007,MTR-1004,City Hospital,Industrial,Indiranagar,Bengaluru,Karnataka,India,AMI Meter,Grid,Industrial Demand,2026-01-06 12:00:00,31.2,13.5,232,26,405.60
R008,MTR-1004,City Hospital,Industrial,Indiranagar,Bengaluru,Karnataka,India,AMI Meter,Grid,Industrial Demand,2026-01-06 23:00:00,12.7,5.8,231,22,165.10
R009,MTR-1001,Green Heights,Residential,Block A,Bengaluru,Karnataka,India,Smart Meter,Grid,Residential Standard,2026-01-07 18:00:00,48.6,22.9,210,27,291.60
R010,MTR-1002,TechWorks Pvt Ltd,Commercial,Electronic City,Bengaluru,Karnataka,India,AMI Meter,Solar + Grid,Commercial Peak,2026-01-07 11:00:00,19.4,9.0,230,26,174.60
R011,MTR-1003,River View Apartments,Residential,Whitefield,Bengaluru,Karnataka,India,Smart Meter,Grid,Residential Standard,2026-01-07 08:00:00,3.8,1.7,228,21,22.80
R012,MTR-1004,City Hospital,Industrial,Indiranagar,Bengaluru,Karnataka,India,AMI Meter,Grid,Industrial Demand,2026-01-07 13:00:00,29.8,12.8,232,27,387.40

